Date;Total
2018-09-06;101.1035852039905
2018-09-07;96.6100925282576
2018-09-10;103.35033154185696
2018-09-11;103.35033154185696
2018-09-12;103.35033154185696
2018-09-13;101.1035852039905
2018-09-14;98.85683886612405
2018-09-17;102.22695837292373
2018-09-18;110.09057055545632
2018-09-19;110.09057055545632
2018-09-20;106.72045104865664
2018-09-21;97.73346569719082
2018-09-24;105.59707787972341
2018-09-25;111.21394372438955
2018-09-26;110.09057055545632
2018-09-27;106.72045104865664
2018-09-28;102.22695837292373
2018-10-01;104.47370471079019
2018-10-02;106.72045104865664
2018-10-03;107.84382421758987
2018-10-04;108.9671973865231
2018-10-05;105.59707787972341
2018-10-08;107.84382421758987
2018-10-09;106.72045104865664
2018-10-10;105.59707787972341
2018-10-11;103.35033154185696
2018-10-12;99.98021203505728
2018-10-15;101.1035852039905
2018-10-16;107.84382421758987
2018-10-17;103.35033154185696
2018-10-18;101.1035852039905
2018-10-19;97.73346569719082
2018-10-22;106.72045104865664
2018-10-23;107.84382421758987
2018-10-24;108.9671973865231
2018-10-25;107.84382421758987
2018-10-26;101.1035852039905
2018-10-29;112.33731689332278
2018-10-30;106.72045104865664
2018-10-31;103.35033154185696
2018-11-01;103.35033154185696
2018-11-02;97.73346569719082
2018-11-05;104.47370471079019
2018-11-06;103.35033154185696
2018-11-07;107.84382421758987
2018-11-08;105.59707787972341
2018-11-09;102.22695837292373
2018-11-12;103.35033154185696
2018-11-13;108.9671973865231
2018-11-14;105.59707787972341
2018-11-15;105.59707787972341
2018-11-16;104.47370471079019
2018-11-19;103.35033154185696
2018-11-20;106.72045104865664
2018-11-21;106.72045104865664
2018-11-22;103.6712953044093
2018-11-23;96.04840594379097
2018-11-26;108.2450289207803
2018-11-27;108.2450289207803
2018-11-28;111.29418466502763
2018-11-29;108.2450289207803
2018-11-30;108.2450289207803
2018-12-03;112.8187625371513
2018-12-04;111.29418466502763
2018-12-05;112.8187625371513
2018-12-06;108.2450289207803
2018-12-07;105.19587317653297
2018-12-10;108.2450289207803
2018-12-11;114.34334040927497
2018-12-12;111.29418466502763
2018-12-13;106.72045104865664
2018-12-14;102.14671743228564
2018-12-17;100.62213956016197
2018-12-18;102.14671743228564
2018-12-19;103.6712953044093
2018-12-20;96.04840594379097
2018-12-21;97.57298381591464
2018-12-24;91.47467232741998
2018-12-27;94.52382807166731
2018-12-28;92.99925019954364
2018-12-31;88.42551658317264
2019-01-02;97.57298381591464
2019-01-03;102.14671743228564
2019-01-04;99.09756168803831
2019-01-07;97.57298381591464
2019-01-08;102.14671743228564
2019-01-09;102.14671743228564
2019-01-10;103.6712953044093
2019-01-11;99.09756168803831
2019-01-14;105.19587317653297
2019-01-15;105.19587317653297
2019-01-16;108.2450289207803
2019-01-17;105.19587317653297
2019-01-18;105.19587317653297
2019-01-21;152.4577872123666
2019-01-22;114.34334040927497
2019-01-23;112.8187625371513
2019-01-24;112.8187625371513
2019-01-25;103.6712953044093
2019-01-28;108.2450289207803
2019-01-29;109.76960679290397
2019-01-30;111.29418466502763
2019-01-31;114.34334040927497
2019-02-01;108.2450289207803
2019-02-04;109.76960679290397
2019-02-05;112.8187625371513
2019-02-06;117.3924961535223
2019-02-07;112.8187625371513
2019-02-08;109.76960679290397
2019-02-11;111.29418466502763
2019-02-12;118.91707402564597
2019-02-13;114.34334040927497
2019-02-14;111.29418466502763
2019-02-15;109.76960679290397
2019-02-18;118.91707402564597
2019-02-19;123.49080764201696
2019-02-20;123.49080764201696
2019-02-21;127.1771004074503
2019-02-22;176.94205274080042
2019-02-25;151.138003382767
2019-02-26;145.608564234617
2019-02-27;152.98114976548368
2019-02-28;138.23597870375033
2019-03-01;129.02024679016696
