Date;Societe Generale
2018-09-18;76.54788954635109
2018-09-19;69.2576143514605
2018-09-20;69.2576143514605
2018-09-21;68.34632995209918
2018-09-24;65.61247675401522
2018-09-25;78.37045834507373
2018-09-26;76.54788954635109
2018-09-27;75.63660514698977
2018-09-28;76.54788954635109
2018-10-01;88.39458673804828
2018-10-02;86.57201793932563
2018-10-03;79.28174274443505
2018-10-04;75.63660514698977
2018-10-05;81.10431154315769
2018-10-08;71.08018315018315
2018-10-09;79.28174274443505
2018-10-10;77.45917394571241
2018-10-11;76.54788954635109
2018-10-12;74.72532074762844
2018-10-15;67.43504555273786
2018-10-16;75.63660514698977
2018-10-17;67.43504555273786
2018-10-18;69.2576143514605
2018-10-19;67.43504555273786
2018-10-22;63.78990795529257
2018-10-23;70.16889875082182
2018-10-24;67.43504555273786
2018-10-25;73.81403634826712
2018-10-26;72.9027519489058
2018-10-29;74.72532074762844
2018-10-30;83.83816474124167
2018-10-31;83.83816474124167
2018-11-01;52.8544951629567
2018-11-02;80.19302714379637
2018-11-05;78.37045834507373
2018-11-06;83.83816474124167
2018-11-07;76.54788954635109
2018-11-08;71.99146754954447
2018-11-09;76.54788954635109
2018-11-12;71.08018315018315
2018-11-13;75.63660514698977
2018-11-14;71.99146754954447
2018-11-15;68.34632995209918
2018-11-16;63.78990795529257
2018-11-19;63.78990795529257
2018-11-20;80.19302714379637
2018-11-21;70.16889875082182
2018-11-22;65.36280979528608
2018-11-23;63.44037421307179
2018-11-26;64.40159200417894
2018-11-27;82.66473003521476
2018-11-28;79.78107666189331
2018-11-29;74.97498770635757
2018-11-30;74.01376991525042
2018-12-03;72.09133433303613
2018-12-04;88.43203678185765
2018-12-05;83.6259478263219
2018-12-06;75.93620549746471
2018-12-07;73.05255212414328
2018-12-10;75.93620549746471
2018-12-11;78.81985887078616
2018-12-12;74.97498770635757
2018-12-13;74.01376991525042
2018-12-14;76.89742328857187
2018-12-17;70.16889875082182
2018-12-18;76.89742328857187
2018-12-19;86.50960119964336
2018-12-20;85.5483834085362
2018-12-21;79.78107666189331
2018-12-24;51.90576071978601
2018-12-27;77.85864107967902
2018-12-28;76.89742328857187
2018-12-31;55.750631884214606
2019-01-02;96.12177911071484
2019-01-03;88.43203678185765
2019-01-04;80.74229445300045
2019-01-07;71.13011654192897
2019-01-08;86.50960119964336
2019-01-09;79.78107666189331
2019-01-10;76.89742328857187
2019-01-11;70.16889875082182
2019-01-14;64.40159200417894
2019-01-15;78.81985887078616
2019-01-16;72.09133433303613
2019-01-17;73.05255212414328
2019-01-18;66.32402758639323
2019-01-21;66.32402758639323
2019-01-22;70.16889875082182
2019-01-23;70.16889875082182
2019-01-24;64.40159200417894
2019-01-25;67.28524537750039
2019-01-28;82.66473003521476
2019-01-29;86.50960119964336
2019-01-30;77.85864107967902
2019-01-31;79.78107666189331
2019-02-01;82.66473003521476
2019-02-04;73.05255212414328
2019-02-05;85.5483834085362
2019-02-06;75.93620549746471
2019-02-07;74.01376991525042
2019-02-08;80.74229445300045
2019-02-11;63.44037421307179
2019-02-12;73.05255212414328
2019-02-13;62.47915642196464
2019-02-14;65.36280979528608
2019-02-15;63.44037421307179
2019-02-18;60.55672083975035
2019-02-19;66.32402758639323
2019-02-20;68.78047305255593
2019-02-21;65.09580485331186
2019-02-22;67.55225031947458
2019-02-25;63.86758212023051
2019-02-26;76.14980945104408
2019-02-27;71.23691851871865
2019-02-28;74.92158671796271
2019-03-01;76.14980945104408
