Date;Hermes
2018-09-11;85.38006296431124
2018-09-12;89.70310412706118
2018-09-13;87.54158354568621
2018-09-14;89.70310412706118
2018-09-17;85.38006296431124
2018-09-18;83.21854238293626
2018-09-19;87.54158354568621
2018-09-20;83.21854238293626
2018-09-21;83.21854238293626
2018-09-24;86.46082325499873
2018-09-25;86.46082325499873
2018-09-26;83.21854238293626
2018-09-27;87.54158354568621
2018-09-28;87.54158354568621
2018-10-01;90.78386441774866
2018-10-02;99.42994674324854
2018-10-03;78.89550122018633
2018-10-04;108.0760290687484
2018-10-05;102.67222761531099
2018-10-08;101.5914673246235
2018-10-09;103.75298790599847
2018-10-10;99.42994674324854
2018-10-11;104.83374819668595
2018-10-12;102.67222761531099
2018-10-15;95.10690558049859
2018-10-16;95.10690558049859
2018-10-17;96.18766587118608
2018-10-18;92.94538499912363
2018-10-19;88.62234383637369
2018-10-22;94.02614528981111
2018-10-23;89.70310412706118
2018-10-24;87.54158354568621
2018-10-25;91.86462470843614
2018-10-26;89.70310412706118
2018-10-29;86.46082325499873
2018-10-30;95.10690558049859
2018-10-31;85.38006296431124
2018-11-01;85.38006296431124
2018-11-02;91.86462470843614
2018-11-05;96.18766587118608
2018-11-06;97.26842616187356
2018-11-07;96.18766587118608
2018-11-08;98.34918645256104
2018-11-09;96.18766587118608
2018-11-12;90.78386441774866
2018-11-13;96.18766587118608
2018-11-14;97.26842616187356
2018-11-15;95.10690558049859
2018-11-16;94.02614528981111
2018-11-19;100.51070703393601
2018-11-20;99.42994674324854
2018-11-21;101.5914673246235
2018-11-22;100.3215739830657
2018-11-23;97.78178729995012
2018-11-26;109.21082737397026
2018-11-27;106.67104069085468
2018-11-28;109.21082737397026
2018-11-29;107.94093403241247
2018-11-30;107.94093403241247
2018-12-03;110.48072071552805
2018-12-04;109.21082737397026
2018-12-05;113.02050739864364
2018-12-06;111.75061405708585
2018-12-07;107.94093403241247
2018-12-10;115.56029408175924
2018-12-11;114.29040074020143
2018-12-12;114.29040074020143
2018-12-13;107.94093403241247
2018-12-14;106.67104069085468
2018-12-17;118.10008076487482
2018-12-18;113.02050739864364
2018-12-19;123.17965413110599
2018-12-20;126.98933415577937
2018-12-21;125.71944081422158
2018-12-24;73.65381381035203
2018-12-27;93.97210727527674
2018-12-28;100.3215739830657
2018-12-31;74.92370715190984
2019-01-02;97.78178729995012
2019-01-03;99.05168064150791
2019-01-04;101.5914673246235
2019-01-07;97.78178729995012
2019-01-08;93.97210727527674
2019-01-09;95.24200061683453
2019-01-10;91.43232059216115
2019-01-11;90.16242725060336
2019-01-14;93.97210727527674
2019-01-15;87.62264056748776
2019-01-16;88.89253390904557
2019-01-17;85.08285388437218
2019-01-18;81.2731738596988
2019-01-21;87.62264056748776
2019-01-22;86.35274722592997
2019-01-23;86.35274722592997
2019-01-24;80.00328051814101
2019-01-25;78.73338717658321
2019-01-28;81.2731738596988
2019-01-29;90.16242725060336
2019-01-30;86.35274722592997
2019-01-31;85.08285388437218
2019-02-01;85.08285388437218
2019-02-04;87.62264056748776
2019-02-05;91.43232059216115
2019-02-06;88.89253390904557
2019-02-07;87.62264056748776
2019-02-08;85.08285388437218
2019-02-11;91.43232059216115
2019-02-12;87.62264056748776
2019-02-13;88.89253390904557
2019-02-14;85.08285388437218
2019-02-15;82.54306720125659
2019-02-18;82.54306720125659
2019-02-19;82.54306720125659
2019-02-20;84.35720054633916
2019-02-21;87.078400563963
2019-02-22;79.82186718363275
2019-02-25;80.72893385617404
2019-02-26;82.54306720125659
2019-02-27;79.82186718363275
2019-02-28;82.54306720125659
2019-03-01;80.72893385617404
