Date;Kering
2018-11-30;51.09387719076117
2018-12-03;52.420990884027695
2018-12-04;49.76676349749465
2018-12-05;52.420990884027695
2018-12-06;51.75743403739443
2018-12-07;58.393002503727054
2018-12-10;51.75743403739443
2018-12-11;50.43032034412791
2018-12-12;50.43032034412791
2018-12-13;50.43032034412791
2018-12-14;52.420990884027695
2018-12-17;57.72944565709379
2018-12-18;60.38367304362684
2018-12-19;57.06588881046053
2018-12-20;65.02857097005968
2018-12-21;66.3556846633262
2018-12-24;57.06588881046053
2018-12-27;55.07521827056075
2018-12-28;53.08454773066096
2018-12-31;46.44897926432834
2019-01-02;49.76676349749465
2019-01-03;51.75743403739443
2019-01-04;49.76676349749465
2019-01-07;51.75743403739443
2019-01-08;46.44897926432834
2019-01-09;48.439649804228125
2019-01-10;54.411661423927484
2019-01-11;49.76676349749465
2019-01-14;49.76676349749465
2019-01-15;55.07521827056075
2019-01-16;55.73877511719401
2019-01-17;52.420990884027695
2019-01-18;49.76676349749465
2019-01-21;52.420990884027695
2019-01-22;48.439649804228125
2019-01-23;53.08454773066096
2019-01-24;56.402331963827265
2019-01-25;56.402331963827265
2019-01-28;57.72944565709379
2019-01-29;52.420990884027695
2019-01-30;51.75743403739443
2019-01-31;59.05655935036032
2019-02-01;53.74810457729422
2019-02-04;47.1125361109616
2019-02-05;47.77609295759486
2019-02-06;54.411661423927484
2019-02-07;53.74810457729422
2019-02-08;50.43032034412791
2019-02-11;55.73877511719401
2019-02-12;60.38367304362684
2019-02-13;53.08454773066096
2019-02-14;53.74810457729422
2019-02-15;57.72944565709379
2019-02-18;50.43032034412791
2019-02-19;57.06588881046053
2019-02-20;54.212594369937506
2019-02-21;51.92995881751908
2019-02-22;46.79402882457764
2019-02-25;51.359299929414476
2019-02-26;50.21798215320527
2019-02-27;48.506005488891454
2019-02-28;50.21798215320527
2019-03-01;50.21798215320527
