Date;Axa
2018-11-23;101.05652072415367
2018-11-26;117.89927417817928
2018-11-27;120.49046701726014
2018-11-28;121.78606343680057
2018-11-29;115.30808133909842
2018-11-30;104.94330998277496
2018-12-03;120.49046701726014
2018-12-04;115.30808133909842
2018-12-05;103.64771356323453
2018-12-06;104.94330998277496
2018-12-07;101.05652072415367
2018-12-10;116.60367775863885
2018-12-11;111.42129208047713
2018-12-12;114.01248491955799
2018-12-13;104.94330998277496
2018-12-14;94.57853862645152
2018-12-17;103.64771356323453
2018-12-18;107.53450282185582
2018-12-19;108.83009924139627
2018-12-20;114.01248491955799
2018-12-21;97.16973146553238
2018-12-24;63.484224557481156
2018-12-27;110.1256956609367
2018-12-28;97.16973146553238
2018-12-31;68.66661023564288
2019-01-02;123.081659856341
2019-01-03;117.89927417817928
2019-01-04;111.42129208047713
2019-01-07;126.96844911496231
2019-01-08;125.67285269542188
2019-01-09;120.49046701726014
2019-01-10;123.081659856341
2019-01-11;110.1256956609367
2019-01-14;123.081659856341
2019-01-15;123.081659856341
2019-01-16;123.081659856341
2019-01-17;114.01248491955799
2019-01-18;111.42129208047713
2019-01-21;119.19487059771971
2019-01-22;119.19487059771971
2019-01-23;119.19487059771971
2019-01-24;116.60367775863885
2019-01-25;107.53450282185582
2019-01-28;120.49046701726014
2019-01-29;125.67285269542188
2019-01-30;117.89927417817928
2019-01-31;112.71688850001756
2019-02-01;107.53450282185582
2019-02-04;126.96844911496231
2019-02-05;124.37725627588145
2019-02-06;124.37725627588145
2019-02-07;115.30808133909842
2019-02-08;106.2389064023154
2019-02-11;129.55964195404317
2019-02-12;119.19487059771971
2019-02-13;116.60367775863885
2019-02-14;114.01248491955799
2019-02-15;110.1256956609367
2019-02-18;121.78606343680057
2019-02-19;116.60367775863885
2019-02-20;111.74519118536224
2019-02-21;114.17443447200056
2019-02-22;108.10132625540477
2019-02-25;112.9598128286814
2019-02-26;120.24754268859633
2019-02-27;115.3890561153197
2019-02-28;109.31594789872393
2019-03-01;106.88670461208562
