Date;Carrefour
2018-12-18;73.91200353000251
2018-12-19;76.64948514222483
2018-12-20;76.64948514222483
2018-12-21;80.7557075605583
2018-12-24;101.28681965222567
2018-12-27;69.80578111166903
2018-12-28;76.64948514222483
2018-12-31;99.91807884611451
2019-01-02;79.38696675444714
2019-01-03;71.1745219177802
2019-01-04;73.91200353000251
2019-01-07;69.80578111166903
2019-01-08;57.48711385666862
2019-01-09;57.48711385666862
2019-01-10;56.118373050557466
2019-01-11;57.48711385666862
2019-01-14;56.118373050557466
2019-01-15;52.01215063222399
2019-01-16;53.38089143833515
2019-01-17;53.38089143833515
2019-01-18;53.38089143833515
2019-01-21;53.38089143833515
2019-01-22;49.274669020001674
2019-01-23;49.274669020001674
2019-01-24;46.53718740777936
2019-01-25;53.38089143833515
2019-01-28;49.274669020001674
2019-01-29;49.274669020001674
2019-01-30;50.64340982611284
2019-01-31;50.64340982611284
2019-02-01;54.7496322444463
2019-02-04;52.01215063222399
2019-02-05;52.01215063222399
2019-02-06;49.274669020001674
2019-02-07;49.274669020001674
2019-02-08;50.64340982611284
2019-02-11;50.64340982611284
2019-02-12;50.64340982611284
2019-02-13;50.64340982611284
2019-02-14;49.274669020001674
2019-02-15;50.64340982611284
2019-02-18;50.64340982611284
2019-02-19;46.53718740777936
2019-02-20;47.715344051014284
2019-02-21;47.715344051014284
2019-02-22;49.48257901586667
2019-02-25;49.48257901586667
2019-02-26;47.12626572939683
2019-02-27;48.893500694249205
2019-02-28;50.071657337484126
2019-03-01;55.37336223204127
