Date;Stmicroelectronics
2018-12-13;336.33211507736803
2018-12-14;308.8764322139094
2018-12-17;439.29092581533786
2018-12-18;363.78779794082664
2018-12-19;425.56308438360855
2018-12-20;253.96506648699219
2018-12-21;398.10740152014995
2018-12-24;171.59801789661634
2018-12-27;336.33211507736803
2018-12-28;288.28467006631547
2018-12-31;109.82273145383446
2019-01-02;274.55682863458617
2019-01-03;631.4807058595482
2019-01-04;363.78779794082664
2019-01-07;473.6105293946611
2019-01-08;391.2434808042853
2019-01-09;521.6579744057137
2019-01-10;590.2971815643602
2019-01-11;507.93013297398437
2019-01-14;459.8826879629318
2019-01-15;391.2434808042853
2019-01-16;370.65171865669134
2019-01-17;624.6167851436835
2019-01-18;356.923877224962
2019-01-21;329.4681943615034
2019-01-22;432.4270050994732
2019-01-23;363.78779794082664
2019-01-24;665.8003094388714
2019-01-25;686.3920715864654
2019-01-28;453.01876724706716
2019-01-29;432.4270050994732
2019-01-30;473.6105293946611
2019-01-31;459.8826879629318
2019-02-01;350.05995650909733
2019-02-04;391.2434808042853
2019-02-05;494.20229154225507
2019-02-06;404.9713222360146
2019-02-07;453.01876724706716
2019-02-08;377.515639372556
2019-02-11;466.74660867879646
2019-02-12;363.78779794082664
2019-02-13;466.74660867879646
2019-02-14;555.977577985037
2019-02-15;404.9713222360146
2019-02-18;384.37956008842065
2019-02-19;521.6579744057137
2019-02-20;625.9895692868565
2019-02-21;625.9895692868565
2019-02-22;686.8496663008565
2019-02-25;869.4299573428563
2019-02-26;695.543965874285
2019-02-27;712.9325650211421
2019-02-28;808.5698603288563
2019-03-01;808.5698603288563
