Date;Bouygues
2018-06-29;83.56178779706772
2018-07-02;93.87805789547113
2018-07-03;91.81480387579046
2018-07-04;93.87805789547113
2018-07-05;90.78317686595011
2018-07-06;78.403652747866
2018-07-09;85.62504181674839
2018-07-10;78.403652747866
2018-07-11;85.62504181674839
2018-07-12;82.53016078722737
2018-07-13;83.56178779706772
2018-07-16;93.87805789547113
2018-07-17;86.65666882658874
2018-07-18;90.78317686595011
2018-07-19;82.53016078722737
2018-07-20;77.37202573802566
2018-07-23;90.78317686595011
2018-07-24;84.59341480690806
2018-07-25;83.56178779706772
2018-07-26;78.403652747866
2018-07-27;73.24551769866429
2018-07-30;90.78317686595011
2018-07-31;89.75154985610976
2018-08-01;82.53016078722737
2018-08-02;78.403652747866
2018-08-03;78.403652747866
2018-08-06;90.78317686595011
2018-08-07;88.71992284626943
2018-08-08;86.65666882658874
2018-08-09;90.78317686595011
2018-08-10;84.59341480690806
2018-08-13;89.75154985610976
2018-08-14;77.37202573802566
2018-08-15;60.86599358058019
2018-08-16;82.53016078722737
2018-08-17;78.403652747866
2018-08-20;91.81480387579046
2018-08-21;86.65666882658874
2018-08-22;89.75154985610976
2018-08-23;92.8464308856308
2018-08-24;86.81744186708333
2018-08-27;107.31600453014468
2018-08-28;97.66962210046876
2018-08-29;106.11020672643518
2018-08-30;104.9044089227257
2018-08-31;92.84643088563078
2018-09-03;120.57978037094908
2018-09-04;108.52180233385417
2018-09-05;108.52180233385417
2018-09-06;106.11020672643518
2018-09-07;97.66962210046876
2018-09-10;103.6986111190162
2018-09-11;102.49281331530672
2018-09-12;104.9044089227257
2018-09-13;101.28701551159722
2018-09-14;94.05222868934028
2018-09-17;103.6986111190162
2018-09-18;106.11020672643518
2018-09-19;100.08121770788773
2018-09-20;90.4348352782118
2018-09-21;91.6406330819213
2018-09-24;97.66962210046876
2018-09-25;85.61164406337384
2018-09-26;90.4348352782118
2018-09-27;109.72760013756366
2018-09-28;84.40584625966436
2018-10-01;81.99425065224537
2018-10-02;86.81744186708333
2018-10-03;89.22903747450232
2018-10-04;84.40584625966436
2018-10-05;81.99425065224537
2018-10-08;85.61164406337384
