Date;Bnp Paribas
2018-12-05;52.40824598923084
2018-12-06;47.36899156718941
2018-12-07;47.36899156718941
2018-12-10;52.40824598923084
2018-12-11;53.41609687363913
2018-12-12;48.376842451597696
2018-12-13;46.36114068278113
2018-12-14;49.38469333600599
2018-12-17;46.36114068278113
2018-12-18;49.38469333600599
2018-12-19;51.40039510482256
2018-12-20;52.40824598923084
2018-12-21;49.38469333600599
2018-12-24;35.27478095428999
2018-12-27;48.376842451597696
2018-12-28;48.376842451597696
2018-12-31;35.27478095428999
2019-01-02;60.47105306449713
2019-01-03;62.4867548333137
2019-01-04;63.49460571772198
2019-01-07;60.47105306449713
2019-01-08;100.78508844082855
2019-01-09;69.54171102417169
2019-01-10;60.47105306449713
2019-01-11;57.447500411272266
2019-01-14;53.41609687363913
2019-01-15;54.42394775804741
2019-01-16;49.38469333600599
2019-01-17;55.431798642455696
2019-01-18;48.376842451597696
2019-01-21;50.39254422041427
2019-01-22;49.38469333600599
2019-01-23;45.35328979837284
2019-01-24;48.376842451597696
2019-01-25;43.33758802955627
2019-01-28;52.40824598923084
2019-01-29;62.4867548333137
2019-01-30;60.47105306449713
2019-01-31;58.45535129568055
2019-02-01;55.431798642455696
2019-02-04;55.431798642455696
2019-02-05;57.447500411272266
2019-02-06;58.45535129568055
2019-02-07;51.40039510482256
2019-02-08;52.40824598923084
2019-02-11;47.36899156718941
2019-02-12;54.42394775804741
2019-02-13;47.36899156718941
2019-02-14;45.35328979837284
2019-02-15;44.34543891396456
2019-02-18;48.376842451597696
2019-02-19;48.376842451597696
2019-02-20;47.06936022317613
2019-02-21;44.454395766333015
2019-02-22;47.06936022317613
2019-02-25;49.68432468001925
2019-02-26;54.91425359370549
2019-02-27;49.68432468001925
2019-02-28;54.91425359370549
2019-03-01;56.221735822127044
