Date;Vivendi
2019-01-15;37.664809262637945
2019-01-16;27.785515029814878
2019-01-17;38.28226515218939
2019-01-18;33.9600739253293
2019-01-21;24.080779692506226
2019-01-22;43.22191226860092
2019-01-23;33.9600739253293
2019-01-24;31.490250367123526
2019-01-25;32.107706256674966
2019-01-28;20.99350024474902
2019-01-29;32.107706256674966
2019-01-30;40.13463282084371
2019-01-31;39.51717693129227
2019-02-01;45.691735826806685
2019-02-04;46.30919171635813
2019-02-05;35.81244159398362
2019-02-06;46.30919171635813
2019-02-07;36.42989748353506
2019-02-08;35.19498570443218
2019-02-11;30.255338588020642
2019-02-12;33.34261803577785
2019-02-13;34.577529814880734
2019-02-14;51.248838832769664
2019-02-15;61.74558895514417
2019-02-18;56.18848594918119
2019-02-19;30.872794477572086
2019-02-20;40.77538893264238
2019-02-21;38.44536670791996
2019-02-22;27.377761140488452
2019-02-25;34.36782781465572
2019-02-26;34.36782781465572
2019-02-27;33.202816702294506
2019-02-28;44.27042226972601
2019-03-01;32.620311146113906
